Source_File     ID    Size  Total_Amp 
hits_28.txt     8     7     86.70
hits_28.txt     9     6     115.15
hits_28.txt     10    2     31.81
hits_29.txt     0     1     27.49
hits_29.txt     1     1     26.64
hits_29.txt     2     1     26.96
hits_29.txt     3     1     24.46
hits_29.txt     4     1     26.55
hits_29.txt     5     1     24.84
hits_29.txt     6     1     26.77
hits_29.txt     7     2     20.01
hits_29.txt     8     1     24.76
hits_29.txt     9     1     26.63
hits_30.txt     0     1     20.97
hits_30.txt     1     1     24.60
hits_30.txt     2     2     26.15
hits_30.txt     3     1     26.24
hits_30.txt     4     1     22.36
hits_30.txt     5     1     26.79
hits_30.txt     6     2     24.20
hits_30.txt     7     1     21.38
hits_30.txt     8     1     24.03
hits_30.txt     9     1     27.54
hits_31.txt     0     1     22.13
hits_31.txt     1     2     21.40
hits_31.txt     2     1     22.70
hits_31.txt     3     1     27.42
hits_31.txt     4     1     32.42
hits_31.txt     5     1     29.71
hits_31.txt     6     1     39.76
hits_31.txt     7     1     17.99
hits_31.txt     8     1     16.63
hits_31.txt     9     2     20.41
hits_32.txt     0     1     22.68
hits_32.txt     1     1     43.72
hits_32.txt     2     2     52.36
hits_32.txt     3     1     23.64
hits_32.txt     4     1     24.11
hits_32.txt     5     3     18.54
hits_32.txt     6     1     27.77
hits_32.txt     7     3     27.50
hits_32.txt     8     1     20.41
hits_32.txt     9     1     34.16
hits_33.txt     0     7     134.42
hits_33.txt     1     1     23.03
hits_33.txt     2     2     47.03
hits_33.txt     3     2     49.08
hits_33.txt     4     1     25.92
hits_33.txt     5     6     72.28
hits_33.txt     6     1     29.25
hits_33.txt     7     1     20.79
hits_33.txt     8     1     29.15
hits_33.txt     9     1     24.13
hits_34.txt     0     1     26.29
hits_34.txt     1     1     20.23
hits_34.txt     2     1     37.12
hits_34.txt     3     1     25.67
hits_34.txt     4     1     21.29
hits_34.txt     5     2     24.82
hits_34.txt     6     2     40.09
hits_34.txt     7     2     40.49
hits_34.txt     8     1     22.32
hits_34.txt     9     1     18.73
hits_35.txt     0     2     21.17
hits_35.txt     1     2     23.60
hits_35.txt     2     2     31.17
hits_35.txt     3     1     22.86
hits_35.txt     4     2     34.52
hits_35.txt     5     2     40.63
hits_35.txt     6     2     24.14
hits_35.txt     7     1     17.13
hits_35.txt     8     1     30.17
hits_35.txt     9     1     16.88
hits_36.txt     0     1     31.67
hits_36.txt     1     1     22.82
hits_36.txt     2     1     32.77
