Source_File     ID    Size  Total_Amp 
hits_65.txt     1     1     21.19
hits_65.txt     2     2     21.82
hits_65.txt     3     2     26.49
hits_65.txt     4     1     33.29
hits_65.txt     5     2     28.57
hits_65.txt     6     1     23.51
hits_65.txt     7     2     31.26
hits_65.txt     8     1     25.56
hits_65.txt     9     2     24.34
hits_66.txt     0     1     22.38
hits_66.txt     1     1     25.97
hits_66.txt     2     1     28.51
hits_66.txt     3     1     27.36
hits_66.txt     4     2     42.74
hits_66.txt     5     1     22.99
hits_66.txt     6     2     23.45
hits_66.txt     7     2     20.50
hits_66.txt     8     2     35.69
hits_66.txt     9     1     25.11
hits_67.txt     0     4     24.07
hits_67.txt     1     2     25.66
hits_67.txt     2     1     20.49
hits_67.txt     3     1     24.03
hits_67.txt     4     2     37.22
hits_67.txt     5     2     37.65
hits_67.txt     6     2     53.64
hits_67.txt     7     1     30.52
hits_67.txt     8     1     21.84
hits_67.txt     9     2     30.07
hits_68.txt     0     3     87.32
hits_68.txt     1     3     38.69
hits_68.txt     2     1     24.70
hits_68.txt     3     7     103.95
hits_68.txt     4     1     26.25
hits_68.txt     5     1     23.37
hits_68.txt     6     1     22.70
hits_68.txt     7     1     23.36
hits_68.txt     8     1     26.03
hits_68.txt     9     2     20.63
hits_69.txt     0     4     30.83
hits_69.txt     1     1     27.56
hits_69.txt     2     2     27.62
hits_69.txt     3     2     20.59
hits_69.txt     4     2     25.09
hits_69.txt     5     2     22.10
hits_69.txt     6     2     23.59
hits_69.txt     7     2     29.29
hits_69.txt     8     1     28.80
hits_69.txt     9     2     28.45
hits_70.txt     0     1     32.09
hits_70.txt     1     1     31.99
hits_70.txt     2     2     23.42
hits_70.txt     3     1     23.99
hits_70.txt     4     1     24.62
hits_70.txt     5     2     21.10
hits_70.txt     6     1     25.62
hits_70.txt     7     2     22.03
hits_70.txt     8     1     26.19
hits_70.txt     9     4     23.10
hits_71.txt     0     2     27.05
hits_71.txt     1     2     23.24
hits_71.txt     2     2     46.53
hits_71.txt     3     2     23.15
hits_71.txt     4     2     24.61
hits_71.txt     5     1     22.77
hits_71.txt     6     2     39.73
hits_71.txt     7     1     25.79
hits_71.txt     8     2     37.54
hits_71.txt     9     1     23.53
hits_72.txt     0     1     26.24
hits_72.txt     1     1     24.55
hits_72.txt     2     1     26.89
hits_72.txt     3     2     23.89
hits_72.txt     4     2     44.51
hits_72.txt     5     2     25.31
hits_72.txt     6     2     57.22
hits_72.txt     7     1     26.61
hits_72.txt     8     2     20.81
hits_72.txt     9     1     21.61
hits_73.txt     0     2     27.40
hits_73.txt     1     12    97.65
hits_73.txt     2     1     24.10
hits_73.txt     3     1     44.01
hits_73.txt     4     2     21.68
hits_73.txt     5     2     20.03
hits_73.txt     6     2     22.10
hits_73.txt     7     2     27.10
hits_73.txt     8     2     18.32
hits_73.txt     9     1     25.34
hits_73.txt     10    4     23.03
hits_74.txt     0     1     23.06
hits_74.txt     1     1     37.79
hits_74.txt     2     1     22.78
hits_74.txt     3     2     25.35
hits_74.txt     4     1     28.09
hits_74.txt     5     2     22.77
hits_74.txt     6     1     23.39
hits_74.txt     7     1     24.19
hits_74.txt     8     2     26.08
hits_74.txt     9     2     24.40
hits_75.txt     0     1     21.24
hits_75.txt     1     3     32.59
hits_75.txt     2     1     22.91
hits_75.txt     3     3     80.89
hits_75.txt     4     2     26.46
hits_75.txt     5     2     23.46
hits_75.txt     6     2     21.72
hits_75.txt     7     2     40.37
hits_75.txt     8     1     27.49
hits_75.txt     9     2     25.78
hits_76.txt     0     1     22.50
hits_76.txt     1     1     23.61
hits_76.txt     2     5     81.32
hits_76.txt     3     1     18.72
hits_76.txt     4     1     28.46
hits_76.txt     5     1     22.16
hits_76.txt     6     2     59.62
hits_76.txt     7     2     21.77
hits_76.txt     8     2     21.34
hits_76.txt     9     1     20.31
hits_77.txt     0     9     124.21
hits_77.txt     1     1     25.34
hits_77.txt     2     1     28.22
hits_77.txt     3     2     19.60
hits_77.txt     4     2     41.91
hits_77.txt     5     2     24.02
hits_77.txt     6     2     27.81
hits_77.txt     7     6     88.84
hits_77.txt     8     2     30.17
hits_77.txt     9     2     51.14
hits_78.txt     0     1     20.39
hits_78.txt     1     2     27.09
hits_78.txt     2     2     22.21
hits_78.txt     3     2     27.88
hits_78.txt     4     4     25.24
hits_78.txt     5     1     28.22
hits_78.txt     6     1     20.95
hits_78.txt     7     1     24.75
hits_78.txt     8     1     21.00
hits_78.txt     9     2     24.46
hits_79.txt     0     1     32.82
hits_79.txt     1     2     23.24
hits_79.txt     2     4     44.17
hits_79.txt     3     1     28.47
hits_79.txt     4     1     38.91
